anio,mes,fecha_corte,hora,genero,rango_edad,viajes,hora_limpia,hora_num,rango_edad_limpio
2024,Julio,2024-07-01,00:00:00,Hombre,10-20 años,6,00:00:00,0,10-20 años
2024,Julio,2024-07-01,05:00:00,Hombre,10-20 años,3,05:00:00,5,10-20 años
2024,Julio,2024-07-01,06:00:00,Hombre,10-20 años,14,06:00:00,6,10-20 años
2024,Julio,2024-07-01,07:00:00,Hombre,10-20 años,24,07:00:00,7,10-20 años
2024,Julio,2024-07-01,08:00:00,Hombre,10-20 años,46,08:00:00,8,10-20 años
2024,Julio,2024-07-01,09:00:00,Hombre,10-20 años,46,09:00:00,9,10-20 años
2024,Julio,2024-07-01,10:00:00,Hombre,10-20 años,58,10:00:00,10,10-20 años
2024,Julio,2024-07-01,11:00:00,Hombre,10-20 años,63,11:00:00,11,10-20 años
2024,Julio,2024-07-01,12:00:00,Hombre,10-20 años,73,12:00:00,12,10-20 años
2024,Julio,2024-07-01,13:00:00,Hombre,10-20 años,96,13:00:00,13,10-20 años
2024,Julio,2024-07-01,14:00:00,Hombre,10-20 años,130,14:00:00,14,10-20 años
2024,Julio,2024-07-01,15:00:00,Hombre,10-20 años,132,15:00:00,15,10-20 años
2024,Julio,2024-07-01,16:00:00,Hombre,10-20 años,107,16:00:00,16,10-20 años
2024,Julio,2024-07-01,17:00:00,Hombre,10-20 años,86,17:00:00,17,10-20 años
2024,Julio,2024-07-01,18:00:00,Hombre,10-20 años,102,18:00:00,18,10-20 años
2024,Julio,2024-07-01,19:00:00,Hombre,10-20 años,103,19:00:00,19,10-20 años
2024,Julio,2024-07-01,20:00:00,Hombre,10-20 años,73,20:00:00,20,10-20 años
2024,Julio,2024-07-01,21:00:00,Hombre,10-20 años,75,21:00:00,21,10-20 años
2024,Julio,2024-07-01,22:00:00,Hombre,10-20 años,62,22:00:00,22,10-20 años
2024,Julio,2024-07-01,23:00:00,Hombre,10-20 años,30,23:00:00,23,10-20 años
2024,Julio,2024-07-01,00:00:00,Hombre,21-30 años,55,00:00:00,0,21-30 años
2024,Julio,2024-07-01,01:00:00,Hombre,21-30 años,4,01:00:00,1,21-30 años
2024,Julio,2024-07-01,05:00:00,Hombre,21-30 años,35,05:00:00,5,21-30 años
2024,Julio,2024-07-01,06:00:00,Hombre,21-30 años,130,06:00:00,6,21-30 años
2024,Julio,2024-07-01,07:00:00,Hombre,21-30 años,360,07:00:00,7,21-30 años
2024,Julio,2024-07-01,08:00:00,Hombre,21-30 años,753,08:00:00,8,21-30 años
2024,Julio,2024-07-01,09:00:00,Hombre,21-30 años,926,09:00:00,9,21-30 años
2024,Julio,2024-07-01,10:00:00,Hombre,21-30 años,591,10:00:00,10,21-30 años
2024,Julio,2024-07-01,11:00:00,Hombre,21-30 años,480,11:00:00,11,21-30 años
2024,Julio,2024-07-01,12:00:00,Hombre,21-30 años,625,12:00:00,12,21-30 años
2024,Julio,2024-07-01,13:00:00,Hombre,21-30 años,774,13:00:00,13,21-30 años
2024,Julio,2024-07-01,14:00:00,Hombre,21-30 años,1096,14:00:00,14,21-30 años
2024,Julio,2024-07-01,15:00:00,Hombre,21-30 años,1135,15:00:00,15,21-30 años
2024,Julio,2024-07-01,16:00:00,Hombre,21-30 años,1020,16:00:00,16,21-30 años
2024,Julio,2024-07-01,17:00:00,Hombre,21-30 años,1299,17:00:00,17,21-30 años
2024,Julio,2024-07-01,18:00:00,Hombre,21-30 años,1951,18:00:00,18,21-30 años
2024,Julio,2024-07-01,19:00:00,Hombre,21-30 años,1626,19:00:00,19,21-30 años
2024,Julio,2024-07-01,20:00:00,Hombre,21-30 años,1123,20:00:00,20,21-30 años
2024,Julio,2024-07-01,21:00:00,Hombre,21-30 años,893,21:00:00,21,21-30 años
2024,Julio,2024-07-01,22:00:00,Hombre,21-30 años,563,22:00:00,22,21-30 años
2024,Julio,2024-07-01,23:00:00,Hombre,21-30 años,359,23:00:00,23,21-30 años
2024,Julio,2024-07-01,00:00:00,Hombre,31-40 años,27,00:00:00,0,31-40 años
2024,Julio,2024-07-01,01:00:00,Hombre,31-40 años,1,01:00:00,1,31-40 años
2024,Julio,2024-07-01,03:00:00,Hombre,31-40 años,1,03:00:00,3,31-40 años
2024,Julio,2024-07-01,05:00:00,Hombre,31-40 años,16,05:00:00,5,31-40 años
2024,Julio,2024-07-01,06:00:00,Hombre,31-40 años,138,06:00:00,6,31-40 años
2024,Julio,2024-07-01,07:00:00,Hombre,31-40 años,365,07:00:00,7,31-40 años
2024,Julio,2024-07-01,08:00:00,Hombre,31-40 años,636,08:00:00,8,31-40 años
2024,Julio,2024-07-01,09:00:00,Hombre,31-40 años,868,09:00:00,9,31-40 años
2024,Julio,2024-07-01,10:00:00,Hombre,31-40 años,586,10:00:00,10,31-40 años
2024,Julio,2024-07-01,11:00:00,Hombre,31-40 años,447,11:00:00,11,31-40 años
2024,Julio,2024-07-01,12:00:00,Hombre,31-40 años,534,12:00:00,12,31-40 años
2024,Julio,2024-07-01,13:00:00,Hombre,31-40 años,717,13:00:00,13,31-40 años
2024,Julio,2024-07-01,14:00:00,Hombre,31-40 años,968,14:00:00,14,31-40 años
2024,Julio,2024-07-01,15:00:00,Hombre,31-40 años,1098,15:00:00,15,31-40 años
2024,Julio,2024-07-01,16:00:00,Hombre,31-40 años,939,16:00:00,16,31-40 años
2024,Julio,2024-07-01,17:00:00,Hombre,31-40 años,1292,17:00:00,17,31-40 años
2024,Julio,2024-07-01,18:00:00,Hombre,31-40 años,1776,18:00:00,18,31-40 años
2024,Julio,2024-07-01,19:00:00,Hombre,31-40 años,1423,19:00:00,19,31-40 años
2024,Julio,2024-07-01,20:00:00,Hombre,31-40 años,1014,20:00:00,20,31-40 años
2024,Julio,2024-07-01,21:00:00,Hombre,31-40 años,731,21:00:00,21,31-40 años
2024,Julio,2024-07-01,22:00:00,Hombre,31-40 años,450,22:00:00,22,31-40 años
2024,Julio,2024-07-01,23:00:00,Hombre,31-40 años,235,23:00:00,23,31-40 años
2024,Julio,2024-07-01,00:00:00,Hombre,41-50 años,11,00:00:00,0,41-50 años
2024,Julio,2024-07-01,01:00:00,Hombre,41-50 años,1,01:00:00,1,41-50 años
2024,Julio,2024-07-01,05:00:00,Hombre,41-50 años,8,05:00:00,5,41-50 años
2024,Julio,2024-07-01,06:00:00,Hombre,41-50 años,53,06:00:00,6,41-50 años
2024,Julio,2024-07-01,07:00:00,Hombre,41-50 años,143,07:00:00,7,41-50 años
2024,Julio,2024-07-01,08:00:00,Hombre,41-50 años,262,08:00:00,8,41-50 años
2024,Julio,2024-07-01,09:00:00,Hombre,41-50 años,355,09:00:00,9,41-50 años
2024,Julio,2024-07-01,10:00:00,Hombre,41-50 años,226,10:00:00,10,41-50 años
2024,Julio,2024-07-01,11:00:00,Hombre,41-50 años,218,11:00:00,11,41-50 años
2024,Julio,2024-07-01,12:00:00,Hombre,41-50 años,237,12:00:00,12,41-50 años
2024,Julio,2024-07-01,13:00:00,Hombre,41-50 años,363,13:00:00,13,41-50 años
2024,Julio,2024-07-01,14:00:00,Hombre,41-50 años,466,14:00:00,14,41-50 años
2024,Julio,2024-07-01,15:00:00,Hombre,41-50 años,477,15:00:00,15,41-50 años
2024,Julio,2024-07-01,16:00:00,Hombre,41-50 años,439,16:00:00,16,41-50 años
2024,Julio,2024-07-01,17:00:00,Hombre,41-50 años,479,17:00:00,17,41-50 años
2024,Julio,2024-07-01,18:00:00,Hombre,41-50 años,725,18:00:00,18,41-50 años
2024,Julio,2024-07-01,19:00:00,Hombre,41-50 años,537,19:00:00,19,41-50 años
2024,Julio,2024-07-01,20:00:00,Hombre,41-50 años,344,20:00:00,20,41-50 años
2024,Julio,2024-07-01,21:00:00,Hombre,41-50 años,243,21:00:00,21,41-50 años
2024,Julio,2024-07-01,22:00:00,Hombre,41-50 años,170,22:00:00,22,41-50 años
2024,Julio,2024-07-01,23:00:00,Hombre,41-50 años,66,23:00:00,23,41-50 años
2024,Julio,2024-07-01,00:00:00,Hombre,51-60 años,3,00:00:00,0,51-60 años
2024,Julio,2024-07-01,05:00:00,Hombre,51-60 años,8,05:00:00,5,51-60 años
2024,Julio,2024-07-01,06:00:00,Hombre,51-60 años,23,06:00:00,6,51-60 años
2024,Julio,2024-07-01,07:00:00,Hombre,51-60 años,37,07:00:00,7,51-60 años
2024,Julio,2024-07-01,08:00:00,Hombre,51-60 años,93,08:00:00,8,51-60 años
2024,Julio,2024-07-01,09:00:00,Hombre,51-60 años,120,09:00:00,9,51-60 años
2024,Julio,2024-07-01,10:00:00,Hombre,51-60 años,102,10:00:00,10,51-60 años
2024,Julio,2024-07-01,11:00:00,Hombre,51-60 años,96,11:00:00,11,51-60 años
2024,Julio,2024-07-01,12:00:00,Hombre,51-60 años,138,12:00:00,12,51-60 años
2024,Julio,2024-07-01,13:00:00,Hombre,51-60 años,189,13:00:00,13,51-60 años
2024,Julio,2024-07-01,14:00:00,Hombre,51-60 años,217,14:00:00,14,51-60 años
